Serial Number,Main Office,Branch Number,Established Date,Acquired Date,City,County,State,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits,2014 Deposits,2015 Deposits,2016 Deposits
24,0,2890,07/12/1971,11/13/2004,Bristol,Kenosha,WI,41540,45722,49287,53491,56862,63709,77757
25,0,2891,06/10/1985,11/13/2004,Kenosha,Kenosha,WI,63075,69062,79939,88693,92229,96281,104869
26,0,2892,08/19/1985,11/13/2004,Kenosha,Kenosha,WI,43225,51113,51254,59723,66068,70480,75076
27,0,2893,07/13/1893,11/13/2004,Stevens Point,Portage,WI,151797,99047,109104,112270,115884,114944,116103
28,0,2894,01/25/1909,11/13/2004,Antigo,Langlade,WI,54152,42828,43477,41077,44265,43664,42056
29,0,2895,02/28/1966,11/13/2004,Appleton,Outagamie,WI,223146,253314,281540,295447,310291,400746,319214
30,0,2896,01/01/1870,11/13/2004,Appleton,Winnebago,WI,26675,27337,27643,30463,31413,31339,34837
31,0,2897,09/24/1962,11/13/2004,Appleton,Outagamie,WI,0,0,0,0,0,0,0
32,0,2898,01/01/1923,11/13/2004,Waupaca,Waupaca,WI,19269,20213,21699,20919,23428,26047,28054
33,0,2899,06/30/1985,11/13/2004,Appleton,Outagamie,WI,19622,20642,23775,28120,36884,33966,39513
34,0,2900,07/01/1990,11/13/2004,Appleton,Outagamie,WI,23795,24703,25858,30442,34355,37127,42567
35,0,2901,11/01/1881,11/13/2004,Neenah,Winnebago,WI,41598,43451,47110,52574,55085,56202,61964
36,0,2902,07/22/1914,11/13/2004,Larsen,Winnebago,WI,14808,15292,15806,16323,16399,15742,17162
37,0,2903,09/20/1911,11/13/2004,Beaver Dam,Dodge,WI,51346,44837,52548,57925,60297,57303,61880
38,0,2904,01/05/1970,11/13/2004,Beaver Dam,Dodge,WI,0,0,0,0,0,0,0
39,0,2905,01/01/1892,11/13/2004,Watertown,Jefferson,WI,45418,60273,47065,53530,49379,52287,46910
40,0,2906,03/09/1865,11/13/2004,Elkhorn,Walworth,WI,63111,67989,75009,76451,83882,90045,90557
41,0,2907,01/01/1891,11/13/2004,Burlington,Racine,WI,33490,37229,38950,43989,47983,52672,53148
42,0,2908,05/22/1995,11/13/2004,Lake Geneva,Walworth,WI,28752,31884,42196,40250,43409,52734,57204
43,0,2909,12/31/1919,11/13/2004,Green Bay,Brown,WI,96546,97148,95482,128388,135539,140777,142493
44,0,2910,07/17/1915,11/13/2004,De Pere,Brown,WI,23085,24662,27030,30252,31701,34106,37419
45,0,2911,03/29/1968,11/13/2004,Green Bay,Brown,WI,37261,37766,39912,41831,42954,44027,47406
46,0,2912,05/24/1977,11/13/2004,New Franken,Brown,WI,23039,22216,21545,21637,22516,22724,23866
47,0,2913,05/02/1983,11/13/2004,Green Bay,Brown,WI,42661,45937,48929,50145,53288,56894,61524
48,0,2914,01/01/1916,11/13/2004,Freedom,Outagamie,WI,11318,11286,13604,12131,11535,13977,14256
49,0,2915,01/10/1903,11/13/2004,Seymour,Outagamie,WI,32114,30159,30073,31627,32112,33085,32463
50,0,2916,11/01/1991,11/13/2004,Green Bay,Brown,WI,31560,33998,34306,37672,36977,44564,46172
51,0,2917,01/01/1855,11/13/2004,Janesville,Rock,WI,70334,73928,74010,71214,72174,74586,77643
52,0,2918,01/01/1897,11/13/2004,Edgerton,Rock,WI,40301,40500,41781,43617,45287,47933,51345
53,0,2919,05/05/1969,11/13/2004,Janesville,Rock,WI,24163,24160,25408,26719,26701,27807,28191
54,0,2920,11/17/1986,11/13/2004,Janesville,Rock,WI,24416,25971,29774,31226,33669,37212,42705
55,0,2922,05/15/1969,11/13/2004,Madison,Dane,WI,35971,41649,48948,55542,59022,65046,69369
56,0,2923,07/06/1971,11/13/2004,Madison,Dane,WI,27885,29115,31670,34079,394269,404053,437332
57,0,2924,03/12/1973,11/13/2004,Madison,Dane,WI,29072,30370,33596,39173,40944,43247,48578
58,0,2925,11/28/1988,11/13/2004,Madison,Dane,WI,72003,81172,94767,126375,144222,157759,195381
59,0,2926,01/15/1999,11/13/2004,Madison,Dane,WI,39131,49714,57242,76750,94139,113507,157361
60,0,2927,07/26/1999,11/13/2004,Oak Creek,Milwaukee,WI,95118,100172,107768,118198,123646,130427,137565
61,0,2928,01/01/1839,11/13/2004,Indianapolis,Marion,IN,3993920,3883422,3962136,3924493,4747598,5269524,5164067
62,0,2929,05/23/1949,11/13/2004,Indianapolis,Marion,IN,59477,56845,58147,60064,59822,56953,60118
63,0,2930,07/22/1925,11/13/2004,Indianapolis,Marion,IN,73695,74732,81454,88596,89166,96143,110693
64,0,2931,06/26/1957,11/13/2004,Indianapolis,Marion,IN,20490,19651,20521,20581,20267,20682,22224
65,0,2932,01/07/1931,11/13/2004,Indianapolis,Marion,IN,22428,22004,22603,23382,23038,22820,25047
66,0,2933,10/12/1956,11/13/2004,Indianapolis,Marion,IN,26830,26928,28620,27550,27361,26741,56986
67,0,2934,12/08/1954,11/13/2004,Indianapolis,Marion,IN,39087,35917,37689,42187,44124,45444,48315
68,0,2935,03/18/1948,11/13/2004,Indianapolis,Marion,IN,36417,36653,38458,38426,39712,42175,46686
69,0,2937,04/15/1931,11/13/2004,Indianapolis,Marion,IN,35449,35858,39532,47280,48774,51246,61977
70,0,2938,01/26/1953,11/13/2004,Indianapolis,Marion,IN,42174,44127,47452,50059,51029,51683,56492
71,0,2939,09/28/1960,11/13/2004,Indianapolis,Marion,IN,99725,133067,149104,171147,162793,173579,188565
72,0,2940,11/01/1957,11/13/2004,Indianapolis,Marion,IN,47315,47714,51326,52357,54503,56132,58329
73,0,2941,07/27/1959,11/13/2004,Indianapolis,Marion,IN,63607,65844,66696,66837,64189,66068,66710
74,0,2942,06/03/1957,11/13/2004,Indianapolis,Marion,IN,47605,51250,51488,56042,58705,61348,66634
75,0,2943,03/01/1963,11/13/2004,Indianapolis,Marion,IN,33517,34365,40851,40908,42161,44408,42581
76,0,2944,03/21/1966,11/13/2004,Indianapolis,Marion,IN,58566,60694,66222,71056,71289,73194,80794
77,0,2945,08/03/1967,11/13/2004,Indianapolis,Marion,IN,96533,99087,107026,117244,114252,119338,135105
78,0,2946,09/27/1967,11/13/2004,Indianapolis,Marion,IN,25589,29069,30096,31039,32025,33442,37096
79,0,2947,04/26/1971,11/13/2004,Indianapolis,Marion,IN,0,0,0,0,0,0,0
80,0,2948,08/16/1971,11/13/2004,Beech Grove,Marion,IN,35939,36617,40175,43821,45087,48119,51975
81,0,2949,11/30/1972,11/13/2004,Indianapolis,Marion,IN,33646,34501,38628,39705,39861,42800,46541
82,0,2950,08/09/1973,11/13/2004,Indianapolis,Marion,IN,100405,84848,65257,62677,121959,68726,78938
83,0,2951,07/15/1976,11/13/2004,Indianapolis,Marion,IN,30745,31402,34338,37775,37168,36364,38385
84,0,2952,06/26/1980,11/13/2004,Indianapolis,Marion,IN,96862,101455,109943,113502,117761,120327,129536
85,0,2954,01/01/1855,11/13/2004,Shelbyville,Shelby,IN,45222,39983,43717,45869,43721,47718,51535
86,0,2955,11/05/1981,11/13/2004,Shelbyville,Shelby,IN,636,657,748,850,513,912,593
87,0,2956,01/12/1987,11/13/2004,Indianapolis,Marion,IN,48825,50197,60148,64812,67293,73421,83236
88,0,2957,05/11/1987,11/13/2004,Indianapolis,Marion,IN,83955,84313,89077,95135,97992,111507,125364
89,0,2958,05/22/1974,11/13/2004,Carmel,Hamilton,IN,114664,128164,147021,167913,173152,187716,216591
90,0,2960,02/04/1990,11/13/2004,Indianapolis,Marion,IN,34792,37902,43389,46238,49398,55574,55803
91,0,2961,01/22/1991,11/13/2004,Indianapolis,Marion,IN,49337,51848,57928,66781,79771,89977,114003
92,0,2962,08/12/1991,11/13/2004,Carmel,Hamilton,IN,72381,82379,90746,97883,101886,115252,131196
93,0,2963,10/15/1964,11/13/2004,Greenwood,Johnson,IN,71466,77680,86112,98453,106746,114770,128546
94,0,2964,01/13/1972,11/13/2004,Franklin,Johnson,IN,39139,41487,50628,55567,55478,58339,69398
95,0,2965,06/17/1991,11/13/2004,Greenwood,Johnson,IN,34046,38044,41415,47374,53239,56232,61619
96,0,2966,09/23/1991,11/13/2004,Fishers,Hamilton,IN,50486,55812,59518,66331,73452,76665,81369
97,0,2967,05/18/1992,11/13/2004,Indianapolis,Marion,IN,36342,38905,42903,45828,47359,49291,55812
98,0,2968,11/28/1973,11/13/2004,Brownsburg,Hendricks,IN,55411,59505,62785,69418,70883,76310,80623
99,0,2969,07/24/1978,11/13/2004,Plainfield,Hendricks,IN,93835,100259,109052,123541,121509,132267,138496
100,0,2970,01/04/1985,11/13/2004,Avon,Hendricks,IN,47969,49736,55018,61094,67730,73837,79280
101,0,2971,01/11/1993,11/13/2004,Fishers,Hamilton,IN,84228,85457,103528,119432,124856,128879,139102
102,0,2972,09/14/1871,11/13/2004,Bloomington,Monroe,IN,134598,148601,169224,193268,207301,222745,240075
103,0,2973,08/19/1965,11/13/2004,Bloomington,Monroe,IN,92223,101148,119698,140417,169834,185062,220604
104,0,2974,12/06/1973,11/13/2004,Bloomington,Monroe,IN,62046,65959,72140,75782,77330,83666,84104
105,0,2976,02/01/1983,11/13/2004,Bloomington,Monroe,IN,16457,18524,20281,23879,23378,24708,25579
106,0,2977,05/22/1899,11/13/2004,Bedford,Lawrence,IN,60128,60002,61756,63224,60519,64408,69201
107,0,2978,12/05/1864,11/13/2004,Crawfordsville,Montgomery,IN,107146,114380,125170,120059,125911,123893,119570
108,0,2979,01/01/1853,11/13/2004,Lafayette,Tippecanoe,IN,121555,111901,102880,144110,111299,103798,108596
109,0,2980,11/20/1952,11/13/2004,Lafayette,Tippecanoe,IN,50858,54267,59810,67459,72765,79732,84962
110,0,2981,04/09/1958,11/13/2004,Lafayette,Tippecanoe,IN,37820,39118,42841,44682,49578,49418,54357
111,0,2982,02/01/1957,11/13/2004,West Lafayette,Tippecanoe,IN,83136,96510,114083,140768,169772,204331,263679
112,0,2983,11/25/1959,11/13/2004,West Lafayette,Tippecanoe,IN,70049,75868,87253,107235,242706,157039,143936
113,0,2984,11/12/1962,11/13/2004,Lake Station,Lake,IN,38002,37489,38934,41388,44208,47941,48654
114,0,2985,05/03/1957,11/13/2004,Whiting,Lake,IN,27855,29607,32570,35332,34903,36920,38553
115,0,2986,02/15/1967,11/13/2004,St. John,Lake,IN,50692,55569,65576,72911,81017,90927,103738
116,0,2987,06/30/1970,11/13/2004,Cedar Lake,Lake,IN,33492,33871,35170,37657,40064,41716,45381
117,0,2988,11/18/1968,11/13/2004,Highland,Lake,IN,37431,39761,44627,51029,56573,61869,67177
118,0,2989,07/13/1863,11/13/2004,Richmond,Wayne,IN,64526,65859,72964,71105,70346,69299,63088
119,0,2990,12/14/1953,11/13/2004,Richmond,Wayne,IN,26361,27794,25311,25480,25785,24698,25171
120,0,2991,04/08/1963,11/13/2004,Richmond,Wayne,IN,18992,20398,24228,26758,27117,27215,25758
121,0,2992,05/06/1963,11/13/2004,Richmond,Wayne,IN,1220,1055,889,2041,934,1028,1041
122,0,2993,09/12/1966,11/13/2004,Richmond,Wayne,IN,20242,20932,22298,24208,25214,28409,31813
123,0,2994,09/12/1998,11/13/2004,Crawfordsville,Montgomery,IN,10634,12247,14215,17101,18432,18532,18755
124,0,2995,02/22/1999,11/13/2004,Indianapolis,Marion,IN,48058,62133,70323,94047,112655,96474,102327
125,0,2996,02/25/1872,11/13/2004,Elkhart,Elkhart,IN,418170,289256,292448,347353,286391,444458,503690
126,0,2997,07/03/1962,11/13/2004,Elkhart,Elkhart,IN,25099,24144,26588,26780,28857,29321,32515
127,0,2999,01/28/1966,11/13/2004,Nappanee,Elkhart,IN,22404,20910,21610,22818,22764,22988,25503
128,0,3001,11/11/1968,11/13/2004,Elkhart,Elkhart,IN,29825,30269,33922,35144,39687,41563,47933
129,0,3002,12/23/1974,11/13/2004,Elkhart,Elkhart,IN,27661,26801,27761,29267,31965,36209,36166
130,0,3003,11/10/1975,11/13/2004,Elkhart,Elkhart,IN,36775,35526,35986,46157,51139,56980,69937
131,0,3004,06/15/1981,11/13/2004,Bristol,Elkhart,IN,14739,14312,15298,15775,16653,17561,21241
132,0,3005,04/19/1934,11/13/2004,Goshen,Elkhart,IN,29626,29596,30590,32904,34020,56656,65296
133,0,3007,10/20/1973,11/13/2004,Goshen,Elkhart,IN,16152,16061,17313,19094,19661,21264,23790
134,0,3009,06/22/1992,11/13/2004,South Bend,St. Joseph,IN,28330,32878,36577,42302,44889,51484,94589
135,0,3010,08/09/1948,11/13/2004,Indianapolis,Marion,IN,11157,12591,13970,13266,13415,12554,14322
136,0,3012,03/26/1947,11/13/2004,Indianapolis,Marion,IN,22137,21936,22822,23125,26053,27762,25399
137,0,3013,08/03/1956,11/13/2004,Indianapolis,Marion,IN,63792,63953,67639,84116,82461,88602,93521
138,0,3014,12/19/1961,11/13/2004,Indianapolis,Marion,IN,58081,57697,63164,67093,70853,76915,82400
139,0,3015,12/02/1959,11/13/2004,Indianapolis,Marion,IN,17320,17915,19110,19061,20029,21653,20564
140,0,3016,05/04/1956,11/13/2004,Indianapolis,Marion,IN,57748,61330,64095,66243,67613,70504,72888
141,0,3017,05/10/1957,11/13/2004,Indianapolis,Marion,IN,53763,55204,59012,59682,60309,59874,60767
142,0,3018,08/22/1956,11/13/2004,Indianapolis,Marion,IN,141659,190735,185039,181781,70932,74930,76988
143,0,3019,03/16/1967,11/13/2004,Indianapolis,Marion,IN,80356,81878,86991,113094,99159,106457,112301
144,0,3020,08/16/1968,11/13/2004,Indianapolis,Marion,IN,92062,92064,100350,104398,107501,116728,121984
145,0,3021,05/27/1971,11/13/2004,Indianapolis,Marion,IN,81744,83287,90645,95793,96900,100463,107215
146,0,3022,10/03/1973,11/13/2004,Indianapolis,Marion,IN,44512,46072,48991,52375,53709,57164,61448
147,0,3023,11/28/1973,11/13/2004,Indianapolis,Marion,IN,30937,30905,32939,34771,35695,37120,39318
148,0,3024,12/16/1974,11/13/2004,Indianapolis,Marion,IN,80951,82597,84251,91953,91685,93791,106374
149,0,3025,10/06/1980,11/13/2004,Indianapolis,Marion,IN,54969,54886,59492,73749,74199,77433,86624
150,0,3026,12/09/1985,11/13/2004,Zionsville,Boone,IN,76667,86454,94731,109359,115741,124976,140723
151,0,3028,05/03/1993,11/13/2004,Noblesville,Hamilton,IN,61433,63328,72707,82505,98278,90128,99078
152,0,3029,03/04/1908,11/13/2004,Gary,Lake,IN,26339,25203,26801,25651,24326,24899,24800
153,0,3030,02/21/1949,11/13/2004,Dyer,Lake,IN,46038,43954,52678,55330,62219,66872,73946
154,0,3031,08/18/1943,11/13/2004,Gary,Lake,IN,42794,40568,42452,43525,41664,40551,41103
155,0,3032,03/29/1948,11/13/2004,Gary,Lake,IN,24790,25884,27511,27515,28318,28667,29404
156,0,3033,03/22/1948,11/13/2004,Gary,Lake,IN,23573,22205,22431,21626,22761,23241,23557
157,0,3034,06/30/1945,11/13/2004,Hobart,Lake,IN,81168,83450,88800,93978,95294,96418,103458
158,0,3035,11/16/1959,11/13/2004,Merrillville,Lake,IN,73101,70098,72286,74920,148035,75407,79057
159,0,3036,09/10/1964,11/13/2004,Munster,Lake,IN,71889,77046,89421,102619,105432,115949,140664
160,0,3037,06/10/1974,11/13/2004,Griffith,Lake,IN,25721,24934,27613,28199,30488,32414,35361
161,0,3039,11/12/1975,11/13/2004,Merrillville,Lake,IN,421006,438499,454172,474920,392511,381661,360377
162,0,3040,01/01/1895,11/13/2004,Crown Point,Lake,IN,64528,64742,72892,74786,88600,80729,86898
163,0,3041,06/04/1962,11/13/2004,Merrillville,Lake,IN,38748,39687,41493,44327,45135,45860,47342
164,0,3042,10/07/1944,11/13/2004,Hammond,Lake,IN,10987,12310,13259,13221,14923,14988,16163
165,0,3043,05/02/1958,11/13/2004,Hammond,Lake,IN,38639,41544,44298,50287,56113,57096,59998
166,0,3044,10/28/1968,11/13/2004,Hammond,Lake,IN,34678,38291,40702,45758,49630,53091,59651
167,0,3045,02/15/1974,11/13/2004,Munster,Lake,IN,39994,40579,46269,50936,54897,60016,65763
168,0,3046,01/01/1874,11/13/2004,Valparaiso,Porter,IN,38797,39648,41639,44110,44626,47517,50742
169,0,3047,01/03/1967,11/13/2004,Kouts,Porter,IN,22598,22461,25999,29151,33543,31600,33290
170,0,3048,09/01/1967,11/13/2004,Valparaiso,Porter,IN,70495,81218,91098,105882,132702,131511,144532
171,0,3049,12/11/1978,11/13/2004,Valparaiso,Porter,IN,41664,46489,54389,55817,62768,65353,70102
172,0,3050,01/12/1961,11/13/2004,Portage,Porter,IN,45272,45690,48324,54592,55604,57735,60320
173,0,3051,03/31/1984,11/13/2004,Portage,Porter,IN,46207,48086,55190,60223,65333,69945,74478
174,0,3052,06/10/1991,11/13/2004,Valparaiso,Porter,IN,21672,24179,28087,33158,33908,37594,43242
175,0,3053,11/14/1991,11/13/2004,Michigan City,La Porte,IN,31459,32331,36846,45481,47217,55047,60901
176,0,3055,02/01/1965,11/13/2004,Yorktown,Delaware,IN,16156,19520,19921,21787,20956,24354,25117
177,0,3056,03/04/1956,11/13/2004,Muncie,Delaware,IN,20583,22208,25766,31051,31283,106428,108562
178,0,3057,08/13/1958,11/13/2004,Muncie,Delaware,IN,19460,20787,21039,22482,30887,34051,34776
179,0,3058,05/14/1973,11/13/2004,Muncie,Delaware,IN,33435,34581,38499,44077,44890,48267,52079
180,0,3060,11/24/1902,11/13/2004,Fort Wayne,Allen,IN,219459,161955,186146,187038,188911,185337,225885
181,0,3061,10/14/1955,11/13/2004,Fort Wayne,Allen,IN,50715,47414,51129,49701,50621,51813,53822
182,0,3062,03/16/1956,11/13/2004,Fort Wayne,Allen,IN,33467,32685,34732,53928,54673,54488,55732
183,0,3063,02/04/1970,11/13/2004,Fort Wayne,Allen,IN,66153,68850,74186,81002,83926,89633,93713
184,0,3064,12/10/1962,11/13/2004,Fort Wayne,Allen,IN,44213,41955,41540,44565,56438,49061,51668
185,0,3067,07/06/1973,11/13/2004,Fort Wayne,Allen,IN,30956,32134,32290,36314,38119,39982,42741
186,0,3068,07/01/1975,11/13/2004,Fort Wayne,Allen,IN,54574,55081,62259,68735,69365,75441,80109
187,0,3069,02/28/1977,11/13/2004,New Haven,Allen,IN,32101,32440,33456,38273,35942,35048,39023
188,0,3071,09/27/1974,11/13/2004,Fort Wayne,Allen,IN,39011,41306,44475,45756,47699,50544,54842
189,0,3072,10/13/1977,11/13/2004,Fort Wayne,Allen,IN,38998,39446,41604,45393,48375,51069,68718
190,0,3073,03/11/1981,11/13/2004,Fort Wayne,Allen,IN,25778,28999,28297,30169,32079,32805,66029
191,0,3074,10/25/1962,11/13/2004,Kendallville,Noble,IN,30159,27051,28092,30328,32970,33401,36912
192,0,3075,06/12/1989,11/13/2004,Fort Wayne,Allen,IN,41913,45614,50037,59561,70311,77766,89985
193,0,3076,02/10/1992,11/13/2004,Fort Wayne,Allen,IN,75980,78161,92406,105309,134150,137913,147212
194,0,3077,01/01/1890,11/13/2004,Chesterton,Porter,IN,60902,65752,75902,82344,85864,87407,96621
195,0,3078,07/30/1973,11/13/2004,Lafayette,Tippecanoe,IN,33681,33810,35192,37340,40298,42794,46305
196,0,3079,01/01/1903,11/13/2004,Lowell,Lake,IN,52501,53503,58024,61041,63728,65110,71735
197,0,3080,12/01/1986,11/13/2004,Crown Point,Lake,IN,27292,30090,31867,34747,44233,52629,53043
198,0,3081,04/14/1990,11/13/2004,Schererville,Lake,IN,40834,42026,48761,56555,61934,67443,78929
199,0,3083,01/04/1971,11/13/2004,Jeffersonville,Clark,IN,0,0,0,0,0,0,0
200,0,3084,03/14/1995,11/13/2004,Indianapolis,Marion,IN,7100,8000,7388,7202,6604,6789,6939
201,0,3085,12/22/1995,11/13/2004,Indianapolis,Marion,IN,47784,52888,58641,67600,70969,75737,85338
202,0,3086,07/01/2000,11/13/2004,Clarksville,Clark,IN,35552,35908,39744,42515,44900,51767,47761
203,0,3087,10/14/1963,11/13/2004,Denver,Denver,CO,3252426,4460872,3929176,5258851,3476423,3047247,3230688
204,0,3088,12/20/1910,11/13/2004,Englewood,Arapahoe,CO,109101,116638,117142,117914,117671,144800,156310
205,0,3089,03/12/1956,11/13/2004,Denver,Denver,CO,206919,223505,256021,254060,278184,291199,320073
206,0,3091,05/04/1959,11/13/2004,Westminster,Adams,CO,157884,166997,169361,177463,174971,187120,194321
207,0,3093,01/01/1909,11/13/2004,Littleton,Arapahoe,CO,113479,121711,133994,147524,168159,187357,207404
208,0,3095,10/15/1962,11/13/2004,Lakewood,Jefferson,CO,67738,71186,75921,83224,86789,97804,106955
209,0,3096,11/02/1992,11/13/2004,Denver,Denver,CO,14613,14763,18919,26471,29339,34661,40978
210,0,3097,06/27/1994,11/13/2004,Englewood,Arapahoe,CO,67824,89941,100889,100621,106011,117224,139273
211,0,3098,01/01/1924,11/13/2004,Boulder,Boulder,CO,128826,145549,159057,171830,184106,192839,217226
212,0,3099,02/08/1915,11/13/2004,Louisville,Boulder,CO,45602,46652,52011,57666,59524,64471,66872
213,0,3100,07/29/1953,11/13/2004,Lafayette,Boulder,CO,73422,84916,86051,102575,117351,137932,140417
214,0,3101,11/28/1960,11/13/2004,Boulder,Boulder,CO,120869,122967,140630,162459,175233,199644,226740
215,0,3102,08/02/1993,11/13/2004,Boulder,Boulder,CO,54273,56789,60582,69709,81184,93198,158468
216,0,3104,05/15/1972,11/13/2004,Colorado Springs,El Paso,CO,385042,358496,401598,449793,435100,445502,356447
217,0,3105,09/11/1981,11/13/2004,Colorado Springs,El Paso,CO,52648,56465,60351,62262,68183,70354,78571
218,0,3106,04/19/1971,11/13/2004,Manitou Springs,El Paso,CO,25868,27141,27621,29179,31569,34143,35277
219,0,3107,07/02/1932,11/13/2004,Loveland,Larimer,CO,107664,112041,118427,131836,147457,164493,179726
220,0,3108,09/04/1973,11/13/2004,Loveland,Larimer,CO,0,0,0,0,0,0,0
221,0,3109,12/04/1964,11/13/2004,Loveland,Larimer,CO,49959,54463,55763,61419,63086,73936,79195
222,0,3111,11/30/1962,11/13/2004,Fort Collins,Larimer,CO,69387,71243,80512,84695,91091,104212,116847
223,0,3112,01/01/1934,11/13/2004,Greeley,Weld,CO,54443,57879,62602,70238,79258,79840,76122
224,0,3115,07/05/1963,11/13/2004,Greeley,Weld,CO,30837,33380,37168,42906,50779,56874,61343
225,0,3116,02/21/1995,11/13/2004,Louisville,Boulder,CO,70594,85679,93603,107766,116671,136018,157396
226,0,3117,05/15/1996,11/13/2004,Denver,Denver,CO,14866,17117,19327,24473,24435,27116,31126
227,0,3118,05/08/1996,11/13/2004,Colorado Springs,El Paso,CO,12077,12962,12572,16043,16570,18175,21717
228,0,3120,04/24/1996,11/13/2004,Northglenn,Adams,CO,10915,12291,12003,14170,14759,16561,18030
229,0,3137,02/18/2002,11/13/2004,Greenwood Village,Arapahoe,CO,47970,62364,69665,78279,110898,125588,132241
230,0,3139,08/12/2002,11/13/2004,Littleton,Jefferson,CO,31132,31415,46655,44458,54810,54253,62105
231,0,3140,03/27/2002,11/13/2004,San Antonio,Bexar,TX,46609,41330,43333,49739,53403,60139,65117
232,0,3141,03/18/2002,11/13/2004,Fort Worth,Tarrant,TX,33989,37565,46996,52240,54659,61229,63274
233,0,3142,04/15/2002,11/13/2004,Austin,Travis,TX,24868,26376,29962,36518,43184,47930,55328
234,0,3143,12/13/2001,11/13/2004,Grand Prairie,Dallas,TX,24875,27683,26987,29931,30742,42515,37133
235,0,3145,06/21/2002,11/13/2004,Madison Heights,Oakland,MI,8792,12432,16669,16950,19112,22507,26560
236,0,3146,06/21/2002,11/13/2004,Shelby Township,Macomb,MI,60418,62824,76348,93062,98692,111553,127433
237,0,3148,06/27/1928,11/13/2004,Chicago,Cook,IL,162543,180144,213903,237891,252334,255139,310094
238,0,3149,01/09/1984,11/13/2004,Chicago,Cook,IL,177408,224626,247421,289855,291624,308165,319253
239,0,3152,06/03/1996,11/13/2004,Elk Grove Village,Cook,IL,187578,264033,0,0,0,0,0
240,0,3153,01/01/1851,11/13/2004,Springfield,Sangamon,IL,387528,447468,472600,451685,500238,384272,395077
241,0,3154,05/03/1979,11/13/2004,Springfield,Sangamon,IL,25595,27099,29281,33472,32848,34141,36285
242,0,3155,07/02/1987,11/13/2004,Springfield,Sangamon,IL,75220,72901,84683,92164,99085,118005,132516
243,0,3156,12/06/1991,11/13/2004,Springfield,Sangamon,IL,27338,29176,31311,34608,36832,38282,41332
244,0,3157,12/14/1854,11/13/2004,Rockford,Winnebago,IL,410368,348603,381521,343615,341937,309123,324626
245,0,3158,03/04/1985,11/13/2004,Rockford,Winnebago,IL,42070,44986,44026,47946,51402,54291,57959
246,0,3159,11/28/1977,11/13/2004,Rockford,Winnebago,IL,63852,59908,60351,60670,62366,69129,62501
247,0,3160,09/08/1965,11/13/2004,Rockford,Winnebago,IL,40190,41048,43726,48794,51965,53855,55564
