Serial Number,2016 Deposits
696,50184.6
697,26008.8
698,71107.3
700,36576.1
701,81265.5
702,56846.2
703,26148.1
704,73044.2
705,40423.2
706,36172.5
708,25299.2
709,69757.3
710,66481.3
711,70513.2
712,31511.7
713,43835.7
714,39467.6
715,33458.6
716,47964.9
717,22483.6
718,57231.1
719,22619.3
722,37112.7
724,56805.8
725,61512.6
726,25931.3
727,70858.6
728,47041.9
730,47329.0
731,50560.9
732,49624.2
733,35032.8
734,46673.5
736,82568.7
738,39314.4
740,22968.6
741,35479.7
742,50822.4
743,82978.7
744,27947.6
745,49547.9
749,36678.6
750,37641.8
751,55047.5
752,49231.1
754,46385.0
755,87225.6
756,53354.7
757,66484.9
758,76039.1
759,55031.1
760,32624.5
761,48105.1
762,37068.4
763,51129.3
764,47870.7
765,41412.2
766,55355.1
769,71909.4
770,85122.9
771,70873.7
772,50749.9
775,69391.0
780,61469.1
782,82991.4
783,31414.7
785,59775.2
786,78687.1
787,57312.1
790,65612.3
791,36284.9
792,34944.7
793,55146.7
795,23132.4
798,75228.4
799,82226.9
800,63221.3
801,58821.5
802,33371.7
803,23164.1
804,70610.1
806,32212.7
807,52477.1
809,39950.9
810,55948.0
811,78318.7
812,44377.7
813,42974.8
814,80222.8
819,64294.2
826,86978.7
828,64943.4
830,77020.4
837,83032.3
875,48813.3
876,82767.8
880,62592.7
904,65088.9
906,52729.5
907,76595.7
910,44767.9
913,29115.5
914,53900.8
915,63443.6
918,42411.2
921,69221.0
927,83646.2
928,68028.6
929,59438.7
932,86295.1
937,69969.3
938,68792.0
941,78394.0
943,38096.5
944,49538.8
945,33120.7
946,56854.6
947,22268.6
949,22627.7
950,54520.3
951,66468.1
953,46647.5
954,36054.8
955,72311.9
957,36446.5
959,66725.4
960,20203.3
961,85514.5
962,60908.0
963,41576.4
965,60832.5
966,89302.3
967,76134.9
969,70659.3
970,40061.8
972,35978.3
973,52160.9
974,36840.4
975,40127.9
976,20102.0
977,49887.3
978,38743.0
979,48526.4
980,68812.5
981,67546.5
982,37516.8
983,59373.4
985,28079.4
986,27906.1
987,37416.4
988,88780.8
989,34339.9
990,50750.3
991,34858.3
993,77327.3
994,67142.8
995,78712.9
999,75809.7
1000,37914.8
1001,37247.9
1003,56561.7
1004,73471.1
1005,32981.2
1006,23606.9
1008,53642.1
1010,62730.6
1014,54807.4
1017,70115.5
1019,50908.4
1021,79217.9
1024,84425.2
1028,66213.6
1035,81808.0
1037,66785.2
1043,47275.1
1044,24393.1
1045,80896.8
1047,39352.0
1048,47153.3
1049,23513.7
1050,73323.2
1053,23271.1
1054,21905.0
1055,57864.0
1056,85364.0
1058,49235.6
1059,55212.3
1061,51022.5
1063,36510.1
1064,23414.1
1065,49827.5
1066,22666.0
1068,56857.8
1069,89915.9
1070,36149.5
1071,51777.4
1072,76281.0
1073,77175.2
1074,37960.4
1075,38948.2
1077,42279.0
1079,68507.4
1087,63220.0
1088,87231.3
1090,80921.4
1100,70356.5
1106,82686.7
1107,87620.3
1114,85970.3
1117,83880.8
1124,47764.3
1130,70070.7
1132,35371.6
1135,88139.1
1136,69051.3
1137,68617.7
1148,77309.2
1149,44031.9
1150,29640.9
1151,23271.4
1154,43079.2
1155,71751.7
1156,67966.4
1157,68798.1
1158,56718.0
1163,67377.4
1164,82345.0
1165,21279.2
1166,31480.3
1171,78274.2
1178,51680.3
1185,75868.1
1187,82789.8
1188,76394.5
1190,36009.7
1202,45201.5
1203,65982.5
1205,74058.6
1213,50110.9
1214,23274.4
1219,60652.6
1221,59250.6
1222,88640.6
1227,44936.2
1228,39743.8
1230,89074.2
1236,88427.6
1238,68936.1
1239,24834.4
1241,81878.3
1246,65755.1
1247,34130.1
1250,65810.6
1251,74852.4
1253,57569.2
1257,81805.1
1261,33432.1
1264,64431.2
1265,85126.7
1269,77752.6
1270,54224.1
1272,68929.7
1274,89571.7
1277,77821.5
1279,84668.2
1280,82500.5
1284,68828.1
1292,64666.1
1293,69409.0
1294,74245.0
1301,54610.7
1307,85818.2
1317,46782.3
1320,81471.4
1326,62761.8
1330,68992.1
1331,88536.0
1333,73627.2
1334,51448.6
1343,57662.6
1345,80467.6
1349,53350.7
1351,23820.3
1352,32690.8
1357,23204.6
1360,39210.1
1361,23104.1
1364,44911.0
1368,24900.9
1370,23907.4
1372,30256.1
1374,34169.6
1377,83030.1
1379,68003.6
1382,86168.6
1383,78070.4
1384,83208.2
1385,31342.1
1387,60005.2
1389,72633.9
1390,59866.6
1391,38013.7
1392,36495.2
1394,32749.0
1396,68876.3
1397,82613.8
1399,62771.3
1405,86461.4
1409,32660.7
1410,34399.3
1411,36358.7
1412,79557.5
1413,24610.6
1415,22024.4
1416,36290.7
1417,34718.7
1418,70357.5
1419,34736.1
1420,74400.0
1421,82106.9
1434,41764.1
1436,84278.7
1441,64064.6
1444,40784.9
1452,85357.6
1457,59491.9
1458,80679.5
1463,85636.1
1465,43309.5
1466,42036.0
1468,52680.8
1478,83089.3
1479,70030.7
1480,65921.8
1482,85073.2
1489,84359.9
1490,66588.0
1492,64518.0
1494,65842.7
1495,44187.4
1496,79174.1
1497,63891.3
1498,86875.5
1504,55671.3
1507,72129.0
1508,59603.7
1509,81567.0
1510,37930.4
1511,80425.6
1512,36183.1
1516,56386.2
1517,71446.2
1519,42672.2
1520,51053.4
1521,23588.5
1522,57329.0
1523,66727.1
1527,53380.3
1529,36946.1
1530,36214.1
1532,64669.2
1533,85481.2
1534,26187.6
1535,63117.4
1536,56890.9
1537,58428.8
1539,52848.4
1540,44430.3
1541,24452.1
1542,26509.1
1543,47953.7
1544,86589.1
1545,52237.7
1546,37283.3
1548,42520.2
1550,34763.6
1551,33586.1
1552,53329.8
1553,68948.9
1554,57806.8
1555,48659.0
1556,48630.0
1558,53913.4
1559,55262.3
1560,76227.5
1562,70787.0
1563,44199.1
1564,32974.4
1565,43330.9
1566,39900.3
1567,37626.3
1569,68750.3
1570,50977.7
1571,31447.9
1573,42094.6
1574,74137.9
1575,70230.0
1576,36111.3
1577,80373.3
1578,61180.5
1579,56629.4
1580,83248.5
1581,77904.4
1582,66761.8
1586,44285.3
1587,36462.4
1588,43480.1
1589,46595.3
1590,86926.1
1593,44005.2
1594,43273.1
1595,63553.3
1596,36651.3
1597,25742.2
1598,23218.9
1601,81736.9
1603,74748.2
1605,65119.0
1607,88820.9
1608,74995.3
1609,42894.1
1612,40174.2
1613,66035.8
1615,31763.0
1616,57899.4
1618,49613.7
1622,84557.2
1623,27512.0
265,0.0
271,0.0
296,6992.6
309,0.0
334,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,1243.4
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,15878.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
394,0.0
397,0.0
399,0.0
405,0.0
407,0.0
409,0.0
434,0.0
439,0.0
450,0.0
454,0.0
458,0.0
462,0.0
467,0.0
469,0.0
473,0.0
477,0.0
482,0.0
505,0.0
518,0.0
519,0.0
520,19925.2
521,0.0
576,0.0
577,0.0
580,0.0
614,4386.1
660,17503.8
679,17281.4
680,16722.7
721,639.1
729,0.0
735,0.0
739,0.0
747,17452.5
767,19592.4
778,0.0
794,0.0
797,0.0
805,0.0
808,0.0
817,0.0
818,0.0
848,0.0
850,0.0
862,0.0
891,0.0
898,1878.0
934,0.0
940,18059.7
952,0.0
984,0.0
1011,17643.2
1012,0.0
1020,19303.4
1040,0.0
1046,19290.4
1057,13540.8
1060,17563.0
1076,0.0
1082,0.0
1084,0.0
1097,0.0
1098,0.0
1101,0.0
1110,0.0
1116,0.0
1119,0.0
1152,16359.6
1192,0.0
1196,0.0
1197,0.0
1199,0.0
1207,17877.6
1211,16167.2
1215,18357.3
1218,549.5
1285,0.0
1350,14930.3
1354,19690.4
1355,16648.2
1356,16603.8
1358,16025.9
1359,16753.2
1362,18304.4
1363,15186.3
1365,0.0
1371,17551.0
1408,0.0
1414,19972.0
1422,16382.8
1500,0.0
1513,0.0
1524,0.0
1525,0.0
1547,0.0
1557,19812.1
1585,0.0
1592,0.0
1617,0.0
1,165417120.8
2,358471.7
3,286499.3
4,134216.8
5,243175.1
6,168369.2
7,123539.9
11,406299.0
12,183346.9
13,147163.4
14,222472.2
15,301769.7
16,246544.5
18,605414.9
19,449692.6
20,129828.7
21,604889.3
22,630393.2
23,550773.6
24,324986.3
25,1000652.0
26,643994.2
27,382703.5
28,405165.2
29,289901.8
31,268443.0
32,328611.6
33,453013.8
34,462716.0
35,3276223.2
36,434940.5
37,389419.2
38,317813.1
39,964064.9
40,1974638.2
41,293485.5
42,288918.1
44,1007811.5
45,557855.5
46,630426.4
47,127454.8
48,240244.4
49,287191.2
50,236474.7
52,249413.9
53,243483.6
54,489380.8
55,103489.8
56,219783.1
57,435103.3
58,178690.2
59,304623.9
60,222386.0
61,185536.1
62,1026635.9
63,122029.8
64,226495.9
65,457572.9
66,404428.1
67,163001.0
68,1078786.7
69,148814.0
70,138448.7
71,118529.5
72,337044.5
73,136609.2
74,318303.2
75,126439.6
76,242769.2
77,147752.7
78,220083.2
79,277163.5
80,162452.6
81,164040.2
83,199079.8
84,382628.1
85,238334.6
86,297229.9
87,296627.4
88,164123.5
90,101505.6
91,184456.2
92,805749.6
93,354012.4
94,145387.5
95,121474.7
96,468686.9
97,285638.6
98,167625.8
99,270700.7
100,240209.0
101,110241.1
102,263346.7
103,187862.6
104,165887.2
105,123675.9
106,117857.5
107,303893.1
108,422754.2
109,644573.1
110,186639.2
111,163667.2
113,186737.0
114,231841.7
116,145427.7
119,134519.9
120,166160.0
121,131534.8
122,231193.4
124,675333.6
125,650897.8
127,143625.7
128,137065.1
129,101112.6
130,186817.8
131,113729.8
132,122914.1
133,185241.9
134,228659.7
135,238688.7
136,286467.4
137,395013.1
138,146572.6
139,491063.5
140,393046.3
141,147573.0
142,300449.8
145,285773.0
146,446331.1
147,184410.2
148,997578.3
149,447888.7
150,123223.8
153,294259.1
154,977109.8
155,18207971.9
156,387341.8
157,228539.7
158,149385.7
159,191950.5
160,187857.9
161,278672.0
162,187699.5
163,226187.6
164,224540.5
165,308055.6
166,149644.1
167,637228.2
168,236474.7
169,598070.0
171,147607.7
173,217912.5
174,132481.4
176,122430.6
177,330922.6
178,147208.8
179,250204.8
180,239598.8
181,242866.2
182,224354.7
183,744143.2
184,145970.7
185,223579.6
186,273683.6
187,176583.8
188,119347.0
189,277716.7
191,167835.4
192,195964.0
193,142196.1
194,321725.6
195,290764.2
196,1052619.8
197,93517.6
199,900946.5
200,1104770.6
201,292206.8
202,417838.4
204,1104770.6
205,468805.1
206,789164.4
207,413390.9
208,496423.4
209,611854.2
210,632768.2
211,124866.3
212,207287.4
213,117439.6
214,244419.9
215,219276.5
216,310292.5
217,223058.2
218,123988.2
219,242858.0
220,155864.4
221,141846.9
222,147567.0
223,168399.1
224,272974.9
225,188356.8
226,366639.8
227,106038.3
228,227115.9
229,267698.4
230,301037.9
231,157731.0
232,532979.0
233,151794.5
234,158265.2
235,344943.8
236,299863.9
237,149003.5
238,216028.6
239,203067.4
240,331139.3
241,169154.1
242,174126.2
243,283776.1
244,121013.4
245,273443.8
246,351068.8
247,147625.1
248,182827.5
250,218733.5
251,282811.5
252,269037.9
253,243165.9
254,184993.7
255,197046.0
256,177859.6
257,624239.3
258,163831.6
259,136985.0
260,215356.9
261,195989.7
262,108996.1
263,283654.5
264,151883.5
266,376092.7
267,189067.5
268,459768.3
269,287627.2
270,287996.6
272,185719.1
273,506753.3
275,149186.5
282,136839.6
283,90567.5
285,123453.2
286,187780.2
290,134518.8
300,121761.8
302,162853.0
306,148078.1
308,95037.7
311,109027.0
312,235652.4
313,244403.6
314,112846.7
316,295960.5
319,148582.5
320,91831.5
321,153902.0
322,116291.9
323,91691.7
324,94114.7
325,201079.7
327,218807.2
328,151617.8
329,151775.9
331,115456.4
333,397689.9
335,225373.5
336,163699.2
337,358576.0
338,307919.4
339,181341.1
340,299766.6
342,187755.7
343,152407.1
344,149103.4
345,414946.6
347,217717.6
348,263785.4
349,215913.1
350,149626.6
351,108547.9
352,213912.3
353,294780.8
355,223771.6
357,151488.8
358,117192.1
359,200943.5
360,124327.0
361,348710.0
363,214493.0
364,265258.4
365,218541.8
366,301621.7
367,1603718.4
396,17826592.9
398,239887.8
400,349493.3
401,397781.0
402,187856.5
403,290823.1
404,221215.8
406,339825.7
408,458304.5
410,128488.3
411,397193.9
412,400596.1
413,359161.8
414,216051.4
415,632768.2
416,230540.6
417,218542.4
418,167148.6
419,225869.4
420,275301.8
421,402831.5
422,216225.8
424,310100.4
425,114276.9
426,221465.4
427,273404.8
428,309109.5
429,221674.5
430,457475.3
431,223616.5
432,222476.9
433,148037.0
435,223628.0
436,189277.1
438,217480.8
441,146964.7
442,235508.7
443,292247.6
444,91970.9
446,189861.1
447,124162.6
448,118057.0
449,304942.8
451,321213.9
452,283654.0
455,153135.5
456,250465.5
457,116328.5
459,155476.9
460,224578.8
461,289420.9
463,146279.7
464,152021.1
468,147729.2
470,143166.2
472,308862.6
475,248285.4
478,141562.7
479,169465.3
480,126366.4
484,678531.5
487,130775.8
488,122552.1
489,157124.7
490,148812.4
491,116868.3
492,93053.4
495,239381.4
499,189605.7
500,149275.7
501,245538.8
503,186843.3
506,435129.9
507,281865.2
508,156236.3
509,110820.2
510,289319.4
511,95906.6
513,140707.4
514,192729.2
522,275899.7
523,165432.8
525,93147.8
528,227456.6
529,223971.8
530,227556.0
532,149378.8
535,183014.0
536,168543.7
539,91250.1
542,1479071.0
543,91757.0
544,200041.9
547,189141.1
550,177157.6
552,118982.5
554,185793.6
555,224788.9
556,118842.7
560,155514.0
562,94135.8
574,237681.8
579,188226.6
581,603640.5
586,109160.0
593,92866.7
594,137687.8
595,95035.4
597,94282.6
600,116637.1
601,132591.5
605,134639.0
606,153546.9
617,96657.8
618,671186.6
623,108381.6
626,90652.5
636,187739.4
639,119476.7
640,256333.0
643,111930.4
651,107882.7
657,114017.9
661,112330.1
686,129000.9
699,90662.9
707,444828.0
720,125364.2
723,306405.2
737,486746.4
746,169968.9
748,103672.5
753,127123.2
768,152667.3
773,168796.6
774,212100.5
776,114286.9
777,136011.5
779,222353.8
781,228688.6
784,114133.7
788,130440.7
789,294345.4
796,149165.5
815,1026635.9
816,238308.4
820,17826592.9
821,374332.1
822,332789.4
823,340917.6
824,224162.7
825,279419.6
827,133955.6
829,195699.0
831,228287.8
832,235581.7
833,278074.6
834,249333.5
835,432847.8
836,464469.1
838,150989.3
839,109093.6
840,141379.6
841,643552.9
842,350999.4
843,134199.2
844,889630.0
845,306556.3
846,245901.5
847,471545.9
849,947124.9
851,473875.4
852,175546.2
853,168391.8
854,615049.0
855,382293.2
856,311467.6
857,111898.9
858,224058.8
859,383806.0
860,223617.5
861,390015.3
863,337059.6
864,123589.8
865,637049.9
866,214005.0
867,280293.8
868,191412.1
869,125424.4
870,899863.2
871,424205.1
872,321271.4
873,450773.8
874,286458.7
877,134328.2
878,1038237.8
879,149581.8
881,192548.1
882,245084.3
883,246011.6
884,120139.1
885,234592.8
886,108059.1
887,595432.2
888,139692.0
889,432904.3
890,477653.2
892,217866.0
893,235322.4
894,221659.5
895,948052.2
896,241686.8
897,106174.5
899,225944.1
900,122714.5
901,450217.2
902,213914.0
903,974036.1
905,116389.9
908,143906.4
909,125501.1
911,107682.5
912,520520.3
916,115756.4
917,193570.1
919,196695.4
920,406295.4
922,388913.8
923,121462.4
924,418378.5
925,152614.9
926,183930.5
930,109544.6
931,205885.6
933,274890.0
935,441831.5
936,574174.4
939,4908103.1
942,214672.2
948,94755.7
956,606754.7
958,164564.9
964,113782.6
968,140340.5
971,992324.5
992,109708.2
996,133102.0
997,105509.7
998,105014.7
1002,1377642.4
1007,129473.6
1009,102934.2
1013,156600.4
1015,168028.2
1016,153314.8
1018,225893.8
1022,127418.4
1023,215783.3
1025,123644.0
1026,141999.3
1027,275713.2
1029,109754.9
1030,188433.3
1031,154663.9
1032,116814.2
1033,168574.0
1034,152841.0
1036,164526.1
1038,245771.1
1039,92777.4
1041,123285.6
1042,299948.0
1051,121455.7
1052,439119.8
1062,133595.7
1067,132936.3
1078,190516.3
1080,121374.4
1081,672920.7
1083,166068.8
1085,204507.6
1086,155635.0
1089,2095265.7
1091,225276.9
1092,149961.7
1093,126596.7
1094,120503.9
1095,383938.4
1096,155220.5
1099,129721.3
1102,147896.3
1103,274445.3
1104,291264.0
1105,216931.8
1108,183098.5
1109,219917.7
1111,148278.6
1112,398101.5
1113,151708.1
1115,226202.3
1118,349441.8
1120,122122.3
1121,126061.3
1122,307166.6
1123,114881.1
1125,147895.2
1126,301495.5
1127,114989.4
1128,243506.3
1129,171194.4
1131,117524.5
1133,136206.6
1134,113518.8
1138,149060.5
1139,113742.2
1140,146865.3
1141,186520.4
1142,133887.8
1143,290763.8
1144,186942.8
1145,148920.3
1146,130142.9
1147,91333.7
1153,108350.6
1159,107030.2
1160,94145.7
1161,166214.5
1162,159117.6
1167,144299.6
1168,1584894.0
1169,148606.4
1170,133746.7
1172,132751.3
1173,244666.3
1174,175123.1
1175,131631.1
1176,136571.7
1177,116578.6
1179,253294.0
1180,213537.0
1181,91963.1
1182,110586.3
1183,104530.5
1184,148781.3
1186,226274.7
1189,187180.0
1191,158367.4
1193,219761.2
1194,228999.1
1195,276778.5
1198,189866.3
1200,114060.9
1201,191240.3
1204,111384.8
1206,128941.4
1208,227254.6
1209,119187.9
1210,116477.7
1212,110830.0
1216,131020.7
1217,148680.1
1220,118553.6
1223,228133.0
1224,116185.1
1225,167924.6
1226,120628.3
1229,163849.2
1231,221614.8
1232,296908.3
1233,90180.4
1234,116480.2
1235,6078466.6
1237,185911.2
1240,227332.6
1242,124820.2
1243,304567.7
1244,130484.2
1245,155761.2
1248,165682.4
1249,284299.1
1252,289227.7
1254,129331.7
1255,153287.1
1256,131149.3
1258,160636.2
1259,240554.3
1260,115802.0
1262,153536.2
1263,349936.3
1266,174994.0
1267,110953.0
1268,182102.5
1271,221411.2
1273,153786.0
1275,422132.6
1276,144625.9
1278,92129.0
1281,150505.2
1282,149566.5
1283,127796.0
1286,120751.7
1287,225414.8
1288,183497.2
1289,187535.2
1290,95780.5
1291,91290.1
1295,169389.1
1296,125143.2
1297,401419.5
1298,166824.4
1299,121134.5
1300,133732.5
1302,157189.4
1303,144471.5
1304,130567.4
1305,184078.6
1306,123203.7
1308,170267.0
1309,92152.6
1310,125737.1
1311,215581.2
1312,125067.2
1313,135577.5
1314,191710.4
1315,280926.3
1316,221556.0
1318,109227.2
1319,120244.5
1321,122361.1
1322,172027.7
1323,276841.6
1324,152942.2
1325,221101.1
1327,150451.2
1328,135544.1
1329,128759.5
1332,135858.4
1335,347185.7
1336,152441.1
1337,92152.9
1338,189979.3
1339,116229.1
1340,132531.8
1341,279541.0
1342,169735.1
1344,98527.7
1346,271092.0
1347,212130.0
1348,241224.6
1353,152638.6
1366,186916.1
1367,119718.0
1369,154497.3
1373,182779.1
1375,153738.1
1376,166052.9
1378,106221.3
1380,119608.9
1381,107525.3
1386,4189802.3
1388,95681.0
1393,223958.5
1395,111262.3
1398,150485.5
1400,156441.8
1401,114457.2
1402,14753473.5
1403,130672.3
1404,114546.8
1406,194161.4
1407,94202.5
1423,128727.1
1424,251316.9
1425,195649.0
1426,91680.6
1427,105433.3
1428,132262.0
1429,213684.2
1430,152524.7
1431,189296.6
1432,217622.2
1433,125835.1
1435,133105.1
1437,134585.4
1438,158096.7
1439,233304.6
1440,182850.8
1442,150398.8
1443,93659.1
1445,92030.1
1446,132191.0
1447,129011.0
1448,216911.7
1449,93045.2
1450,120533.4
1451,272050.4
1453,308103.4
1454,148884.8
1455,108282.5
1456,215536.8
1459,186998.3
1460,143924.1
1461,196563.0
1462,188602.3
1464,302106.5
1467,344306.2
1469,114842.3
1470,283471.4
1471,134517.5
1472,221792.7
1473,145108.1
1474,135303.9
1475,94060.6
1476,190670.0
1477,111390.8
1481,115868.5
1483,110694.3
1484,186848.1
1485,119240.1
1486,111902.8
1487,108217.8
1488,164124.4
1491,118764.5
1493,153401.6
1499,115121.0
1501,236444.8
1502,142240.2
1503,136321.0
1505,302304.2
1506,208152.6
1514,104922.1
1515,235447.8
1518,132129.7
1526,150656.1
1528,96840.2
1531,114166.2
1538,130731.7
1549,112852.8
1561,399535.8
1568,114852.0
1572,221492.1
1583,133176.4
1584,133584.9
1591,212333.0
1599,189456.2
1600,98764.7
1602,205169.2
1604,304363.9
1606,222054.0
1610,117857.1
1611,4443168.4
1614,149799.9
1619,112516.9
1620,109779.8
1621,106213.5
